formula,atom a,atom b,lowest distortion,e_form,e_hull,mu_b,vpa,gap pbe,a,b,c,alpha,beta,gamma,e_form oxygen,composition,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber,composition_oxid,minimum oxidation state,maximum oxidation state,range oxidation state,std_dev oxidation state
Na2CoO3,Co,Na,none,-1.405755423225575,0.0,0.0,16.31551368086905,0.0,5.420854,5.988257366912097,6.6057818127039285,111.78047102454852,95.48824421692848,96.24069378011583,0.0,Co1 Na2 O3,8.0,27.0,19.0,12.166666666666666,4.944444444444444,8.0,2.0,87.0,85.0,53.833333333333336,34.55555555555556,87.0,15.9994,58.933195,42.933795,25.48515559333333,11.149346468888888,15.9994,54.8,1768.0,1713.2,445.69,440.77,54.8,1.0,16.0,15.0,9.833333333333334,6.166666666666667,16.0,2.0,4.0,2.0,2.6666666666666665,0.6666666666666666,2.0,66.0,166.0,100.0,109.33333333333331,43.333333333333336,66.0,0.93,3.44,2.51,2.3433333333333333,1.096666666666667,3.44,1.0,2.0,1.0,1.6666666666666667,0.4444444444444444,2.0,0.0,4.0,4.0,2.0,2.0,4.0,0.0,7.0,7.0,1.1666666666666667,1.9444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,8.0,4.833333333333333,2.555555555555556,6.0,0.0,1.0,1.0,0.3333333333333333,0.4444444444444445,0.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,3.0,3.0,0.5,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,1.8333333333333333,0.5555555555555555,2.0,9.105,29.2433333333,20.1383333333,16.007777777766666,8.823703703688889,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5484712,1.5484712,0.2580785333333333,0.430130888888889,0.0,12.0,229.0,217.0,114.66666666666669,102.66666666666669,12.0,Co4+1 Na+2 O2-3,-2,4,6,2.23606797749979
NaSeO2,Na,Se,none,-1.405663,0.16192104,9e-07,19.44546432090053,0.0,6.23668957,6.236689564782892,6.92724706,90.0,90.0,119.99999997463132,0.0,Na1 O2 Se1,8.0,34.0,26.0,15.25,9.375,8.0,2.0,89.0,87.0,66.25,32.125,87.0,15.9994,78.96,62.96059999999999,33.48714232,22.736428839999995,15.9994,54.8,494.0,439.2,243.6175,188.8175,54.8,1.0,16.0,15.0,12.25,5.625,16.0,2.0,4.0,2.0,2.75,0.75,2.0,66.0,166.0,100.0,104.5,38.5,66.0,0.93,3.44,2.51,2.59,0.85,3.44,1.0,2.0,1.0,1.75,0.375,2.0,0.0,4.0,4.0,3.0,1.5,4.0,0.0,10.0,10.0,2.5,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16.0,15.0,7.25,4.375,6.0,0.0,1.0,1.0,0.25,0.375,0.0,0.0,2.0,2.0,1.5,0.75,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.75,0.375,2.0,9.105,29.2433333333,20.1383333333,18.343333333325,9.238333333325,9.105,0.0,0.799,0.799,0.19975,0.299625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,66.75,81.125,12.0,Na0+1 O0+2 Se0+1,0,0,0,0.0
Sc3AgO,Ag,Sc,none,-1.4053,0.056,0.0,17.301123325014306,0.0,6.119807782066402,6.119807782066402,8.794703718,90.0,90.0,148.31399174025418,0.0,Ag1 O1 Sc3,8.0,47.0,39.0,23.6,9.36,21.0,11.0,87.0,76.0,37.0,31.2,11.0,15.9994,107.8682,91.8688,51.74706719999999,22.448453119999996,44.955912,54.8,1814.0,1759.2,1346.346,561.1848,1814.0,3.0,16.0,13.0,7.2,5.040000000000001,3.0,2.0,5.0,3.0,3.8,0.7200000000000001,4.0,66.0,170.0,104.0,144.2,31.28000000000001,170.0,1.36,3.44,2.08,1.89,0.6359999999999999,1.36,1.0,2.0,1.0,1.8,0.3199999999999999,2.0,0.0,4.0,4.0,0.8,1.28,0.0,0.0,10.0,10.0,2.6,2.96,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,8.0,5.2,2.64,3.0,0.0,1.0,1.0,0.2,0.32,0.0,0.0,2.0,2.0,0.4,0.64,0.0,0.0,9.0,9.0,5.4,4.32,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,8.0,6.0,3.6,9.0,9.105,22.235,13.13,18.428,4.5684,22.235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.35e-06,6.35e-06,3.81e-06,3.048e-06,6.35e-06,12.0,225.0,213.0,163.8,60.71999999999999,194.0,Ag0+1 O0+1 Sc0+3,0,0,0,0.0
AlAgO3,Ag,Al,none,-1.4053,0.363,0.0,10.216464187236625,0.0,3.710424,3.710424,3.710424,90.0,90.0,90.0,0.0,Ag1 Al1 O3,8.0,47.0,39.0,16.8,12.080000000000002,8.0,65.0,87.0,22.0,79.8,8.64,87.0,15.9994,107.8682,91.8688,36.56958772,28.519444912,15.9994,54.8,1234.93,1180.13,466.56000000000006,494.1120000000001,54.8,11.0,16.0,5.0,14.4,1.92,16.0,2.0,5.0,3.0,2.8,0.96,2.0,66.0,145.0,79.0,92.8,32.160000000000004,66.0,1.61,3.44,1.83,2.772,0.8016,3.44,1.0,2.0,1.0,1.8,0.3199999999999999,2.0,0.0,4.0,4.0,2.6,1.6799999999999995,4.0,0.0,10.0,10.0,2.0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,8.0,6.4,1.8400000000000003,6.0,0.0,1.0,1.0,0.2,0.32,0.0,0.0,5.0,5.0,2.2,1.12,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,2.4,1.0399999999999998,2.0,9.105,16.48,7.375,12.025,3.503999999999999,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,97.2,102.24,12.0,Ag3+1 Al3+1 O2-3,-2,3,5,2.449489742783178
Cu(AsO2)2,As,Cu,none,-1.4050758,0.029860178,4.0121417,16.168983563138358,0.5953,8.95485972,8.95485972,5.64576994,90.0,90.0,90.0,0.0,As2 Cu1 O4,8.0,33.0,25.0,18.142857142857142,11.591836734693876,8.0,64.0,87.0,23.0,82.85714285714286,5.387755102040813,87.0,15.9994,74.9216,58.9222,39.62668571428571,27.00261224489796,15.9994,54.8,1357.77,1302.97,536.7099999999999,550.7542857142856,54.8,11.0,16.0,5.0,15.0,1.1428571428571428,16.0,2.0,4.0,2.0,2.857142857142857,0.979591836734694,2.0,66.0,132.0,66.0,90.57142857142856,28.081632653061224,66.0,1.9,3.44,1.54,2.86,0.6628571428571428,3.44,1.0,2.0,1.0,1.8571428571428568,0.2448979591836734,2.0,0.0,4.0,4.0,3.142857142857143,0.979591836734694,4.0,0.0,10.0,10.0,4.285714285714286,4.8979591836734695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,15.0,9.0,9.285714285714286,3.7551020408163263,6.0,0.0,1.0,1.0,0.1428571428571428,0.2448979591836734,0.0,0.0,3.0,3.0,2.0,0.5714285714285714,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,2.142857142857143,0.4897959183673469,2.0,9.105,22.175,13.07,13.12,5.174285714285714,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,86.42857142857143,85.0612244897959,12.0,As2+1 As5+1 Cu+1 O2-4,-2,5,7,2.5634797778466227
TlSnO3,Sn,Tl,none,-1.4050516,0.2715925,-4e-07,13.515868960080455,0.0,4.07322117,4.07322117,4.07322117,90.0,90.0,90.0,0.0,O3 Sn1 Tl1,8.0,81.0,73.0,31.0,27.6,8.0,76.0,87.0,11.0,83.4,4.319999999999999,87.0,15.9994,204.3833,188.3839,74.2183,69.86268,15.9994,54.8,577.0,522.2,249.296,233.3952,54.8,13.0,16.0,3.0,15.0,1.2,16.0,2.0,6.0,4.0,3.4,1.6799999999999995,2.0,66.0,145.0,79.0,96.4,36.48,66.0,1.62,3.44,1.82,2.78,0.7919999999999999,3.44,2.0,2.0,0.0,2.0,0.0,2.0,1.0,4.0,3.0,3.0,1.2,4.0,0.0,10.0,10.0,4.0,4.8,0.0,0.0,14.0,14.0,2.8,4.48,0.0,6.0,27.0,21.0,11.8,6.959999999999999,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,3.0,1.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,3.0,1.2,2.0,9.105,33.285,24.18,17.502,10.076399999999998,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,194.0,182.0,74.2,74.64000000000001,12.0,O2-3 Sn3+1 Tl3+1,-2,3,5,2.449489742783178
MnCuO2,Cu,Mn,none,-1.404982,0.13015568,9.05889,10.835512695445203,0.0,4.133228325783177,4.133228325783177,5.855533319093958,110.65812617627785,110.66948208499262,90.008073795666,0.0,Cu1 Mn1 O2,8.0,29.0,21.0,17.5,9.5,8.0,52.0,87.0,35.0,72.5,14.5,87.0,15.9994,63.546,47.5466,37.62071125,21.62131125,15.9994,54.8,1519.0,1464.2,746.5925,691.7925,54.8,7.0,16.0,9.0,12.5,3.5,16.0,2.0,4.0,2.0,3.0,1.0,2.0,66.0,139.0,73.0,100.75,34.75,66.0,1.55,3.44,1.89,2.5825,0.8574999999999999,3.44,1.0,2.0,1.0,1.75,0.375,2.0,0.0,4.0,4.0,2.0,2.0,4.0,0.0,10.0,10.0,3.75,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,11.0,5.0,7.5,1.75,6.0,0.0,1.0,1.0,0.25,0.375,0.0,0.0,2.0,2.0,1.0,1.0,2.0,0.0,5.0,5.0,1.25,1.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,2.5,1.25,2.0,9.105,11.07,1.965,9.941896551725,0.8368965517249998,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000310120689655,0.000310120689655,7.753017241375e-05,0.0001162952586206,0.0,12.0,225.0,213.0,116.5,104.5,12.0,Cu2+1 Mn2+1 O2-2,-2,2,4,2.0
RbNO3,N,Rb,none,-1.40466429875,0.0,0.0,14.986925152321865,0.0,4.8902325,5.31012834,5.77135798,90.0,90.0,90.0,0.0,N1 O3 Rb1,7.0,37.0,30.0,13.6,9.36,8.0,4.0,87.0,83.0,69.4,26.16,87.0,14.0067,85.4678,71.4611,29.49454,22.389304,15.9994,54.8,312.46,257.66,107.982,81.7912,54.8,1.0,16.0,15.0,12.8,4.72,16.0,2.0,5.0,3.0,2.6,0.9600000000000002,2.0,66.0,220.0,154.0,97.8,48.88,66.0,0.82,3.44,2.62,2.836,0.8064,3.44,1.0,2.0,1.0,1.8,0.3199999999999999,2.0,0.0,4.0,4.0,3.0,1.2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,4.8,1.52,6.0,0.0,1.0,1.0,0.2,0.32,0.0,0.0,3.0,3.0,1.8,0.72,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,2.0,0.4,2.0,9.105,90.7225,81.61749999999999,26.56125,25.6645,9.105,0.0,6.437,6.437,1.2874,2.0598400000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,229.0,217.0,91.8,95.76,12.0,N5+1 O2-3 Rb+1,-2,5,7,2.756809750418044
MnVO3,Mn,V,none,-1.4045565,0.9219602,6.0000033,10.80607918096328,0.0,3.78047221,3.78047221,3.78047221,90.0,90.0,90.0,0.0,Mn1 O3 V1,8.0,25.0,17.0,14.4,7.6800000000000015,8.0,46.0,87.0,41.0,71.8,18.24,87.0,15.9994,54.938045,38.938645,30.775549,17.731378799999998,15.9994,54.8,2183.0,2128.2,773.28,862.176,54.8,5.0,16.0,11.0,12.0,4.8,16.0,2.0,4.0,2.0,2.8,0.96,2.0,66.0,153.0,87.0,98.0,38.4,66.0,1.55,3.44,1.89,2.7,0.8879999999999999,3.44,2.0,2.0,0.0,2.0,0.0,2.0,0.0,4.0,4.0,2.4,1.9200000000000004,4.0,0.0,5.0,5.0,1.6,1.9200000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,2.0,6.0,0.4,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.2,0.9600000000000002,2.0,0.0,7.0,7.0,2.4,2.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,5.0,3.6,1.9200000000000004,2.0,9.105,13.01,3.905,10.16251724138,1.2690206896559997,9.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000310120689655,0.000310120689655,6.2024137931e-05,9.92386206896e-05,0.0,12.0,229.0,217.0,96.4,101.28,12.0,Mn2+1 O2-3 V4+1,-2,4,6,2.5298221281347035
Al2Ge2O5,Al,Ge,none,-1.4045,1.058,0.0,11.667005400204305,0.0,8.618044,3.490572,3.490572,90.0,90.0,90.0,0.0,Al2 Ge2 O5,8.0,32.0,24.0,14.444444444444445,7.80246913580247,8.0,73.0,87.0,14.0,82.11111111111111,5.432098765432098,87.0,15.9994,72.64,56.6406,31.026675244444448,18.494811002469135,15.9994,54.8,1211.4,1156.6,507.0822222222222,502.5358024691359,54.8,13.0,16.0,3.0,14.88888888888889,1.2345679012345678,16.0,2.0,4.0,2.0,2.6666666666666665,0.7407407407407407,2.0,66.0,121.0,55.0,90.22222222222224,26.913580246913583,66.0,1.61,3.44,1.83,2.7155555555555555,0.8049382716049382,3.44,2.0,2.0,0.0,2.0,0.0,2.0,1.0,4.0,3.0,2.888888888888889,1.2345679012345678,4.0,0.0,10.0,10.0,2.2222222222222223,3.45679012345679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,14.0,11.0,7.111111111111111,3.061728395061728,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,3.111111111111111,1.2345679012345678,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,3.0,3.111111111111111,1.2345679012345678,2.0,9.105,23.005,13.9,13.832777777777778,5.253086419753085,9.105,0.0,0.383,0.383,0.0851111111111111,0.132395061728395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,225.0,213.0,106.66666666666669,105.1851851851852,12.0,Al3+2 Ge2+2 O2-5,-2,3,5,2.260776661041756
